id,name,category,brand,price
53,Apple Chocolate 981,Books,Apple,1122.88
54,Lenovo Sneakers 759,Toys,Lenovo,1353.61
55,Canon Headphones 636,Automotive,Canon,196.14
56,Nike Laptop 586,Health,Nike,1097.76
57,HP Perfume 810,Books,HP,273.15
58,Adidas TV 492,Grocery,Adidas,948.64
59,Apple TV 500,Health,Apple,1087.52
60,HP Mixer 757,Electronics,HP,703.01
61,Canon Supplements 972,Books,Canon,733.96
62,Lenovo T-shirt 306,Health,Lenovo,370.17
63,Dell Chocolate 435,Beauty,Dell,1051.82
64,HP Tablet 800,Beauty,HP,1154.1
65,Canon TV 869,Electronics,Canon,1194.42
66,Samsung Headphones 880,Beauty,Samsung,76.72
67,Samsung Headphones 691,Health,Samsung,667.99
68,Lenovo Perfume 200,Fashion,Lenovo,1012.09
69,Lenovo TV 262,Health,Lenovo,1418.09
70,Lenovo TV 895,Health,Lenovo,150.73
71,Adidas Football 448,Sports,Adidas,624.63
72,Canon Chocolate 409,Electronics,Canon,1287.4
73,HP Tablet 464,Books,HP,695.17
74,Nike Supplements 687,Electronics,Nike,586.55
75,LG Smartphone 406,Health,LG,297.81
76,Puma Backpack 537,Grocery,Puma,338.87
77,Sony Perfume 738,Electronics,Sony,1379.14
78,Puma Smartphone 451,Grocery,Puma,742.57
79,Dell Shampoo 215,Health,Dell,651.15
80,Philips Mixer 924,Sports,Philips,840.15
81,Philips Mixer 442,Home & Kitchen,Philips,480.81
82,Dell Smartphone 813,Toys,Dell,1231.84
83,Apple Mixer 174,Grocery,Apple,129.74
84,LG Tablet 722,Automotive,LG,1222.54
85,Sony TV 529,Grocery,Sony,207.6
86,Lenovo Book 204,Grocery,Lenovo,784.05
87,Puma Mixer 436,Toys,Puma,1049.8
88,Asus Chocolate 951,Automotive,Asus,863.24
89,Adidas Headphones 952,Fashion,Adidas,185.29
90,Dell Tablet 925,Fashion,Dell,115.68
91,HP Smartphone 752,Beauty,HP,334.04
92,HP Chocolate 324,Sports,HP,527.77
93,Samsung Watch 185,Grocery,Samsung,322.32
94,Philips Camera 578,Beauty,Philips,517.01
95,Sony Perfume 975,Electronics,Sony,117.63
96,Apple Perfume 590,Automotive,Apple,613.78
97,Asus Laptop 522,Automotive,Asus,333.46
98,Canon Smartphone 819,Fashion,Canon,14.75
99,HP Backpack 247,Electronics,HP,442.84
100,Lenovo Mixer 260,Books,Lenovo,1138.92
101,HP Shampoo 963,Toys,HP,292.45
102,Philips Laptop 974,Electronics,Philips,1405.97
103,Puma Chocolate 698,Automotive,Puma,1075.8
104,Puma Shampoo 701,Automotive,Puma,33.14
105,HP T-shirt 421,Automotive,HP,432.45
106,Philips Smartphone 367,Electronics,Philips,1296.44
107,Puma Chocolate 937,Automotive,Puma,1343.02
108,Puma Watch 404,Toys,Puma,874.32
109,Asus T-shirt 972,Automotive,Asus,471.67
110,Adidas Shampoo 117,Toys,Adidas,1317.2
111,Samsung Watch 977,Sports,Samsung,646.46
112,Sony Football 371,Home & Kitchen,Sony,1292.21
113,Puma TV 150,Sports,Puma,240.26
114,Puma Book 969,Automotive,Puma,298.84
115,Nike Smartphone 236,Automotive,Nike,241.51
116,Dell Backpack 278,Grocery,Dell,1392.08
117,Canon Sneakers 228,Beauty,Canon,940.83
118,Dell Sneakers 337,Books,Dell,1055.68
119,Asus T-shirt 655,Fashion,Asus,166.47
120,LG Football 313,Sports,LG,1320.21
121,Sony Sneakers 311,Automotive,Sony,1065.9
122,Samsung Book 466,Books,Samsung,527.71
123,HP Sneakers 409,Sports,HP,1134.29
124,Panasonic Backpack 189,Books,Panasonic,873.74
125,LG Supplements 262,Toys,LG,491.7
126,Adidas Shampoo 850,Fashion,Adidas,899.55
127,Asus Shampoo 763,Automotive,Asus,172.85
128,Puma Perfume 898,Grocery,Puma,1261.36
129,Philips Toy Car 562,Beauty,Philips,853.98
130,Nike Smartphone 262,Grocery,Nike,1200.6
131,Adidas T-shirt 472,Automotive,Adidas,565.06
132,HP Supplements 581,Electronics,HP,893.68
133,Samsung Perfume 991,Fashion,Samsung,1280.84
134,Nike Perfume 121,Beauty,Nike,703.19
135,LG Mixer 123,Beauty,LG,1486.39
136,Adidas Watch 238,Sports,Adidas,851.03
137,Samsung Sneakers 936,Books,Samsung,1179.69
138,Nike Camera 887,Fashion,Nike,655.99
139,Panasonic Supplements 756,Books,Panasonic,621.01
140,Adidas T-shirt 463,Beauty,Adidas,1330.18
141,Canon Shampoo 314,Home & Kitchen,Canon,455.41
142,Adidas Chocolate 831,Books,Adidas,1416.32
143,Lenovo Mixer 568,Automotive,Lenovo,979.73
144,Nike Laptop 461,Automotive,Nike,671.7
145,Lenovo Sneakers 430,Health,Lenovo,351.73
146,Adidas Laptop 835,Beauty,Adidas,184.34
147,Canon Watch 825,Books,Canon,1302.52
148,Adidas Mixer 147,Fashion,Adidas,1137.02
149,LG Laptop 232,Home & Kitchen,LG,1193.94
150,HP Chocolate 316,Electronics,HP,587.52
151,Philips Chocolate 430,Home & Kitchen,Philips,336.06
152,Philips Headphones 778,Health,Philips,1483.36
153,Adidas Laptop 687,Health,Adidas,768.0
154,HP Supplements 553,Grocery,HP,105.58
155,Apple Shampoo 278,Sports,Apple,882.94
156,HP Book 504,Beauty,HP,307.67
157,Asus Backpack 333,Automotive,Asus,165.45
158,Philips Book 914,Home & Kitchen,Philips,114.55
159,HP Toy Car 838,Electronics,HP,412.13
160,Adidas Tablet 159,Beauty,Adidas,865.45
161,Lenovo Watch 835,Grocery,Lenovo,958.67
162,Panasonic Camera 810,Grocery,Panasonic,1296.7
163,Nike Tablet 864,Sports,Nike,504.73
164,Philips Sneakers 959,Toys,Philips,992.89
165,Panasonic Sneakers 730,Books,Panasonic,341.58
166,Panasonic Headphones 108,Electronics,Panasonic,178.11
167,Dell Book 957,Health,Dell,1000.73
168,Panasonic Laptop 530,Sports,Panasonic,388.24
169,Dell Watch 291,Fashion,Dell,1365.3
170,Adidas TV 609,Beauty,Adidas,919.72
171,Lenovo Laptop 568,Automotive,Lenovo,870.34
172,Samsung Laptop 867,Grocery,Samsung,142.64
173,LG Mixer 334,Beauty,LG,1061.28
174,Panasonic Camera 629,Electronics,Panasonic,381.12
175,Puma Headphones 900,Books,Puma,667.47
176,Philips Book 199,Health,Philips,59.08
177,Asus Smartphone 698,Fashion,Asus,971.19
178,Apple Mixer 352,Health,Apple,892.19
179,Panasonic Smartphone 657,Beauty,Panasonic,1189.4
180,Canon Tablet 896,Home & Kitchen,Canon,314.66
181,Dell Headphones 852,Sports,Dell,913.29
182,Adidas Football 122,Beauty,Adidas,832.92
183,Sony Perfume 591,Grocery,Sony,483.85
184,Adidas Tablet 975,Fashion,Adidas,404.14
185,Philips Perfume 360,Toys,Philips,992.8
186,Samsung Sneakers 386,Grocery,Samsung,1344.39
187,LG Laptop 342,Electronics,LG,1115.91
188,Adidas T-shirt 975,Books,Adidas,22.28
189,Nike Camera 899,Electronics,Nike,460.94
190,Lenovo Shampoo 307,Books,Lenovo,460.07
191,LG Chocolate 256,Beauty,LG,1424.98
192,Lenovo Shampoo 681,Sports,Lenovo,761.5
193,Sony Toy Car 971,Home & Kitchen,Sony,1204.1
194,Sony Smartphone 320,Grocery,Sony,769.8
195,Adidas Tablet 763,Grocery,Adidas,40.43
196,HP Camera 451,Sports,HP,1409.87
197,Canon Watch 634,Grocery,Canon,829.6
198,Apple Football 753,Home & Kitchen,Apple,824.87
199,Adidas Book 558,Health,Adidas,410.21
200,Puma Watch 918,Grocery,Puma,173.17
201,LG Smartphone 272,Grocery,LG,1447.61
202,Sony Toy Car 728,Electronics,Sony,1193.51
203,Apple Headphones 115,Electronics,Apple,1076.92
204,Asus Shampoo 320,Beauty,Asus,1366.63
205,Apple Headphones 263,Books,Apple,735.06
206,Dell Supplements 942,Fashion,Dell,469.63
207,Canon Camera 541,Toys,Canon,587.91
208,Dell Perfume 210,Fashion,Dell,873.09
209,Puma Chocolate 980,Grocery,Puma,494.65
210,Panasonic Toy Car 818,Home & Kitchen,Panasonic,1424.24
211,LG Sneakers 983,Automotive,LG,1157.16
212,Apple Supplements 893,Sports,Apple,647.61
213,Apple Chocolate 724,Health,Apple,711.65
214,LG Headphones 284,Health,LG,349.37
215,Adidas Headphones 805,Automotive,Adidas,1013.95
216,Panasonic Smartphone 829,Books,Panasonic,316.91
217,Canon Perfume 853,Grocery,Canon,477.22
218,Philips Camera 688,Fashion,Philips,1323.34
219,Lenovo Smartphone 539,Electronics,Lenovo,440.06
220,Sony Mixer 872,Electronics,Sony,257.81
221,Lenovo Laptop 618,Sports,Lenovo,1007.72
222,HP Watch 996,Home & Kitchen,HP,1481.92
223,LG Shampoo 165,Sports,LG,95.66
224,Samsung Mixer 782,Toys,Samsung,1040.66
225,Apple Smartphone 939,Home & Kitchen,Apple,712.31
226,Asus TV 594,Home & Kitchen,Asus,1400.23
227,Adidas Supplements 884,Grocery,Adidas,498.18
228,Lenovo Watch 134,Electronics,Lenovo,741.62
229,Samsung T-shirt 760,Automotive,Samsung,513.96
230,Samsung Shampoo 288,Health,Samsung,152.26
231,Canon Shampoo 575,Electronics,Canon,1095.37
232,Nike Shampoo 821,Grocery,Nike,1359.26
233,Samsung Tablet 252,Toys,Samsung,1454.49
234,Apple Shampoo 822,Automotive,Apple,659.59
235,Panasonic Laptop 558,Electronics,Panasonic,773.16
236,Nike TV 298,Sports,Nike,807.17
237,Apple Tablet 627,Grocery,Apple,1489.04
238,Adidas Chocolate 286,Beauty,Adidas,426.78
239,Nike T-shirt 617,Grocery,Nike,536.17
240,LG Supplements 393,Beauty,LG,507.36
241,Adidas Perfume 850,Toys,Adidas,1229.22
242,Philips Shampoo 698,Toys,Philips,1472.69
243,Apple Backpack 734,Books,Apple,1235.01
244,Philips Perfume 989,Beauty,Philips,117.4
245,Apple Chocolate 541,Sports,Apple,861.86
246,Nike T-shirt 374,Automotive,Nike,826.06
247,Nike Laptop 630,Home & Kitchen,Nike,1286.29
248,HP Laptop 949,Automotive,HP,343.29
249,Panasonic Laptop 418,Toys,Panasonic,675.09
250,Puma Shampoo 700,Health,Puma,768.34
251,Lenovo Shampoo 192,Sports,Lenovo,1392.58
252,Lenovo Perfume 271,Home & Kitchen,Lenovo,1455.88
253,LG Chocolate 323,Automotive,LG,514.86
254,Canon TV 235,Beauty,Canon,1478.84
255,Dell T-shirt 228,Electronics,Dell,1018.45
256,Panasonic Camera 865,Automotive,Panasonic,310.63
257,Canon Perfume 525,Health,Canon,768.3
258,Samsung T-shirt 522,Automotive,Samsung,193.65
259,Sony Chocolate 849,Toys,Sony,1175.63
260,Philips Watch 586,Home & Kitchen,Philips,371.87
261,Adidas Backpack 187,Fashion,Adidas,432.65
262,Philips Headphones 539,Grocery,Philips,150.18
263,Samsung Smartphone 938,Health,Samsung,653.71
264,HP Chocolate 456,Automotive,HP,1234.13
265,Adidas Perfume 446,Automotive,Adidas,1026.52
266,Nike Supplements 788,Toys,Nike,611.73
267,Puma Chocolate 347,Sports,Puma,1397.43
268,LG Headphones 480,Toys,LG,1151.41
269,Apple Book 643,Health,Apple,293.65
270,Dell Sneakers 761,Fashion,Dell,42.62
271,Panasonic Camera 308,Fashion,Panasonic,440.68
272,Asus Toy Car 345,Sports,Asus,295.07
273,Dell Perfume 871,Toys,Dell,1455.77
274,Adidas T-shirt 156,Books,Adidas,1461.2
275,Puma Book 825,Electronics,Puma,45.12
276,Panasonic Perfume 608,Grocery,Panasonic,95.09
277,Apple Tablet 475,Fashion,Apple,1328.72
278,Samsung Camera 510,Beauty,Samsung,1213.64
279,Lenovo Backpack 134,Grocery,Lenovo,296.91
280,Puma Watch 440,Health,Puma,381.6
281,HP Toy Car 200,Fashion,HP,47.06
282,Apple Perfume 947,Sports,Apple,1031.26
283,Dell Camera 871,Automotive,Dell,382.35
284,HP Supplements 362,Home & Kitchen,HP,534.96
285,Asus Toy Car 944,Automotive,Asus,796.08
286,LG Supplements 118,Toys,LG,48.94
287,Dell Laptop 127,Automotive,Dell,297.07
288,Apple Laptop 300,Books,Apple,1137.72
289,Asus Camera 162,Books,Asus,1133.28
290,Canon Shampoo 926,Automotive,Canon,324.95
291,Panasonic Tablet 189,Toys,Panasonic,1176.43
292,Lenovo Toy Car 212,Toys,Lenovo,439.76
293,Adidas Supplements 218,Home & Kitchen,Adidas,380.33
294,Asus Camera 923,Health,Asus,934.96
295,Canon Supplements 183,Beauty,Canon,668.67
296,Philips Football 737,Health,Philips,1324.63
297,Panasonic Tablet 102,Home & Kitchen,Panasonic,1318.45
298,Dell Watch 320,Beauty,Dell,24.37
299,Adidas Sneakers 122,Electronics,Adidas,329.54
300,Sony Mixer 480,Automotive,Sony,1240.84
301,Canon Book 592,Electronics,Canon,1134.58
302,LG Sneakers 552,Electronics,LG,1056.64
303,Adidas Football 976,Fashion,Adidas,619.47
304,Nike Mixer 910,Grocery,Nike,1340.24
305,Sony Watch 995,Health,Sony,293.21
306,Lenovo Camera 870,Home & Kitchen,Lenovo,1001.42
307,Dell Headphones 451,Home & Kitchen,Dell,1063.11
308,HP Shampoo 369,Beauty,HP,1488.87
309,Dell Football 275,Books,Dell,98.54
310,Apple Laptop 997,Health,Apple,552.31
311,HP Mixer 878,Home & Kitchen,HP,706.36
312,Panasonic Supplements 149,Electronics,Panasonic,385.64
313,Nike Mixer 893,Home & Kitchen,Nike,228.97
314,Panasonic Football 200,Automotive,Panasonic,1094.86
315,Sony Book 989,Electronics,Sony,1051.1
316,HP Mixer 887,Books,HP,1325.67
317,Canon Mixer 573,Health,Canon,231.33
318,HP Book 850,Electronics,HP,1099.53
319,Sony Book 407,Sports,Sony,953.95
320,Asus Sneakers 423,Beauty,Asus,793.35
321,Canon Shampoo 129,Automotive,Canon,1335.22
322,Philips Watch 488,Beauty,Philips,1104.2
323,Asus T-shirt 953,Books,Asus,875.25
324,LG Shampoo 521,Fashion,LG,76.19
325,Sony Chocolate 741,Books,Sony,265.67
326,Canon Toy Car 338,Books,Canon,879.8
327,Puma Shampoo 620,Sports,Puma,1204.25
328,Sony Perfume 104,Beauty,Sony,952.0
329,Philips Tablet 390,Beauty,Philips,283.72
330,Dell Perfume 974,Grocery,Dell,538.89
331,Dell Laptop 791,Sports,Dell,11.18
332,Sony Mixer 939,Home & Kitchen,Sony,658.79
333,Asus Backpack 628,Home & Kitchen,Asus,1252.47
334,Canon Shampoo 863,Books,Canon,392.15
335,Samsung Smartphone 359,Sports,Samsung,906.46
336,Puma Watch 127,Grocery,Puma,752.34
337,Philips Sneakers 889,Beauty,Philips,206.24
338,LG Camera 288,Toys,LG,586.33
339,LG Watch 550,Automotive,LG,265.42
340,HP T-shirt 462,Grocery,HP,331.74
341,Dell Mixer 842,Books,Dell,1441.01
342,Apple TV 325,Home & Kitchen,Apple,425.61
343,Samsung Camera 473,Health,Samsung,1103.22
344,Philips Book 969,Automotive,Philips,1352.88
345,Sony Perfume 419,Home & Kitchen,Sony,1288.4
346,Apple Smartphone 107,Health,Apple,500.88
347,Philips Smartphone 687,Beauty,Philips,713.43
348,Puma Toy Car 285,Books,Puma,1475.07
349,Adidas Perfume 535,Beauty,Adidas,1202.58
350,Philips Chocolate 351,Toys,Philips,546.33
351,Dell Backpack 710,Health,Dell,773.65
352,Sony Supplements 953,Fashion,Sony,419.19
353,Asus Backpack 667,Beauty,Asus,192.48
354,Asus TV 601,Health,Asus,664.11
355,Dell Mixer 316,Books,Dell,579.27
356,Philips Supplements 182,Health,Philips,69.0
357,Puma Tablet 839,Health,Puma,1382.79
358,Sony Book 705,Health,Sony,750.15
359,Samsung Chocolate 703,Beauty,Samsung,1475.83
360,Nike Watch 297,Books,Nike,204.28
361,Asus T-shirt 758,Beauty,Asus,1389.91
362,Nike TV 741,Grocery,Nike,751.9
363,Sony Chocolate 787,Automotive,Sony,73.08
364,Adidas Football 193,Books,Adidas,730.89
365,Adidas Headphones 101,Sports,Adidas,890.81
366,Sony Football 651,Grocery,Sony,1458.01
367,Philips Sneakers 147,Home & Kitchen,Philips,1292.85
368,Dell Supplements 256,Grocery,Dell,1484.17
369,Sony Supplements 171,Health,Sony,280.36
370,Asus Sneakers 682,Toys,Asus,1070.19
371,Samsung Sneakers 765,Home & Kitchen,Samsung,199.04
372,Nike Camera 678,Fashion,Nike,562.98
373,Panasonic T-shirt 185,Home & Kitchen,Panasonic,1407.85
374,Canon Shampoo 760,Sports,Canon,234.31
375,Sony Camera 676,Fashion,Sony,1423.75
376,Adidas Perfume 675,Health,Adidas,942.14
377,LG Football 812,Sports,LG,1476.78
378,Panasonic Toy Car 427,Automotive,Panasonic,29.96
379,Philips Tablet 535,Home & Kitchen,Philips,239.58
380,Adidas Perfume 242,Home & Kitchen,Adidas,167.25
381,Canon Toy Car 633,Automotive,Canon,288.09
382,Samsung Perfume 991,Grocery,Samsung,1471.08
383,LG Sneakers 575,Toys,LG,942.98
384,Puma Tablet 865,Automotive,Puma,1469.77
385,Puma Shampoo 883,Sports,Puma,1072.67
386,Samsung Headphones 608,Automotive,Samsung,199.26
387,Adidas TV 312,Health,Adidas,592.23
388,Puma Chocolate 536,Sports,Puma,753.35
389,Canon Backpack 650,Beauty,Canon,180.66
390,Asus Perfume 755,Grocery,Asus,1256.43
391,Samsung Chocolate 566,Books,Samsung,1254.24
392,Nike Headphones 113,Beauty,Nike,1488.86
393,Dell Chocolate 279,Toys,Dell,399.34
394,Adidas Tablet 123,Home & Kitchen,Adidas,477.33
395,Puma Shampoo 833,Health,Puma,290.7
396,Philips TV 361,Toys,Philips,1216.74
397,Puma Watch 235,Toys,Puma,1066.47
398,HP Book 636,Electronics,HP,406.51
399,Canon Supplements 330,Beauty,Canon,134.1
400,Sony Camera 809,Books,Sony,967.16
401,Philips Toy Car 781,Beauty,Philips,432.09
402,Apple Headphones 404,Grocery,Apple,157.85
403,Canon Shampoo 419,Sports,Canon,659.58
404,Sony Chocolate 696,Sports,Sony,140.44
405,Canon Mixer 726,Electronics,Canon,1024.07
406,Lenovo Smartphone 129,Toys,Lenovo,695.61
407,Dell Backpack 981,Home & Kitchen,Dell,1014.32
408,Sony T-shirt 238,Fashion,Sony,228.97
409,Canon Chocolate 860,Sports,Canon,718.55
410,Samsung T-shirt 361,Sports,Samsung,1475.97
411,Nike Camera 519,Health,Nike,604.97
412,Asus Backpack 394,Automotive,Asus,154.23
413,Apple Chocolate 621,Automotive,Apple,848.55
414,Nike Sneakers 971,Sports,Nike,397.99
415,Samsung Football 591,Health,Samsung,1010.83
416,Samsung TV 328,Electronics,Samsung,436.37
417,Asus Watch 893,Grocery,Asus,1107.06
418,Nike Backpack 999,Grocery,Nike,109.48
419,Nike TV 310,Books,Nike,264.58
420,Panasonic Perfume 436,Fashion,Panasonic,36.16
421,Panasonic Mixer 650,Electronics,Panasonic,1421.99
422,Asus Mixer 849,Sports,Asus,560.56
423,Canon TV 192,Grocery,Canon,632.62
424,HP Mixer 405,Sports,HP,508.28
425,Canon Watch 966,Beauty,Canon,591.77
426,Lenovo Supplements 668,Fashion,Lenovo,1095.1
427,Philips Tablet 153,Health,Philips,1337.35
428,Apple Chocolate 281,Automotive,Apple,111.85
429,Nike Perfume 419,Home & Kitchen,Nike,962.9
430,Sony T-shirt 833,Books,Sony,1440.92
431,Sony Watch 757,Home & Kitchen,Sony,89.91
432,Asus Smartphone 274,Grocery,Asus,535.23
433,Panasonic Backpack 338,Books,Panasonic,1495.45
434,Dell Book 920,Automotive,Dell,635.95
435,Lenovo TV 146,Grocery,Lenovo,417.2
436,Nike Tablet 406,Fashion,Nike,1471.17
437,Apple Supplements 598,Books,Apple,345.22
438,Asus Watch 749,Fashion,Asus,1279.3
439,Sony Chocolate 321,Books,Sony,1223.47
440,Philips Laptop 916,Fashion,Philips,1339.33
441,Puma Perfume 996,Automotive,Puma,1200.63
442,Adidas Mixer 815,Grocery,Adidas,1274.72
443,Nike Camera 841,Books,Nike,1312.06
444,HP Toy Car 259,Grocery,HP,742.72
445,Asus Tablet 248,Grocery,Asus,740.19
446,HP Toy Car 224,Toys,HP,1087.26
447,Philips Tablet 504,Beauty,Philips,992.05
448,Philips Book 814,Grocery,Philips,640.67
449,Panasonic Watch 119,Health,Panasonic,1360.01
450,Philips Mixer 730,Grocery,Philips,625.15
451,Asus Sneakers 613,Automotive,Asus,288.38
452,Dell Backpack 560,Home & Kitchen,Dell,649.13
453,Philips Backpack 398,Home & Kitchen,Philips,100.71
454,Panasonic Smartphone 364,Toys,Panasonic,618.55
455,Apple Camera 522,Home & Kitchen,Apple,79.57
456,Lenovo Chocolate 615,Automotive,Lenovo,101.58
457,Dell Toy Car 845,Books,Dell,132.13
458,Asus Supplements 660,Home & Kitchen,Asus,1498.56
459,Panasonic Shampoo 956,Automotive,Panasonic,423.33
460,Apple Chocolate 442,Toys,Apple,830.93
461,Adidas T-shirt 187,Home & Kitchen,Adidas,817.51
462,Philips Backpack 877,Grocery,Philips,1010.01
463,Adidas Chocolate 384,Sports,Adidas,251.47
464,Adidas Football 700,Health,Adidas,555.4
465,Canon Perfume 756,Sports,Canon,1037.19
466,Adidas Perfume 586,Electronics,Adidas,1231.46
467,Dell Smartphone 814,Sports,Dell,817.51
468,HP Headphones 596,Fashion,HP,1410.12
469,Samsung Backpack 934,Toys,Samsung,915.85
470,Nike Backpack 723,Automotive,Nike,374.63
471,Dell Tablet 623,Grocery,Dell,1116.05
472,Samsung Camera 331,Grocery,Samsung,399.77
473,HP Tablet 501,Electronics,HP,1372.49
474,Nike Supplements 152,Health,Nike,1173.64
475,HP Headphones 131,Books,HP,227.47
476,Puma Toy Car 611,Automotive,Puma,1492.71
477,Panasonic Shampoo 493,Sports,Panasonic,913.03
478,Adidas Perfume 334,Automotive,Adidas,788.72
479,LG Watch 794,Fashion,LG,924.22
480,Adidas Mixer 568,Toys,Adidas,436.18
481,Lenovo Watch 487,Health,Lenovo,528.73
482,Lenovo Supplements 384,Fashion,Lenovo,881.98
483,Puma TV 339,Fashion,Puma,814.59
484,Samsung Backpack 627,Home & Kitchen,Samsung,584.34
485,Puma Smartphone 936,Fashion,Puma,121.44
486,Puma Chocolate 527,Fashion,Puma,929.08
487,Lenovo TV 601,Sports,Lenovo,54.29
488,LG Backpack 103,Fashion,LG,1443.87
489,Sony Supplements 461,Sports,Sony,1145.59
490,Nike Chocolate 653,Automotive,Nike,685.18
491,Canon Watch 836,Books,Canon,1033.2
492,Lenovo Football 228,Toys,Lenovo,547.09
493,Dell Laptop 321,Grocery,Dell,1146.32
494,Dell Sneakers 328,Books,Dell,319.4
495,Apple Tablet 634,Beauty,Apple,21.58
496,Nike Headphones 391,Grocery,Nike,986.7
497,Philips Mixer 388,Health,Philips,667.74
498,Samsung Headphones 294,Electronics,Samsung,530.19
499,LG Tablet 207,Beauty,LG,433.43
500,Asus Supplements 803,Fashion,Asus,1466.65
501,HP Watch 323,Automotive,HP,920.75
502,Philips Shampoo 323,Toys,Philips,833.04
503,Lenovo Sneakers 866,Sports,Lenovo,357.78
504,LG Backpack 946,Electronics,LG,369.27
505,Apple Smartphone 601,Fashion,Apple,853.22
506,Adidas Headphones 544,Beauty,Adidas,1122.43
507,Lenovo Perfume 131,Home & Kitchen,Lenovo,972.97
508,Lenovo Perfume 430,Health,Lenovo,147.47
509,Apple Toy Car 630,Toys,Apple,966.95
510,Panasonic Shampoo 312,Books,Panasonic,902.73
511,Puma Mixer 514,Automotive,Puma,454.65
512,Puma Shampoo 481,Health,Puma,1434.66
513,Apple TV 644,Fashion,Apple,1394.04
514,LG Shampoo 372,Electronics,LG,653.33
515,Puma Chocolate 421,Health,Puma,863.18
516,HP T-shirt 443,Beauty,HP,1074.24
517,Nike Smartphone 767,Toys,Nike,1441.53
518,Apple Football 993,Sports,Apple,822.19
519,Asus Tablet 736,Books,Asus,101.26
520,Nike Supplements 103,Toys,Nike,636.07
521,Panasonic Tablet 919,Home & Kitchen,Panasonic,1264.95
522,LG Tablet 933,Fashion,LG,156.0
523,Canon Smartphone 696,Automotive,Canon,207.26
524,Samsung Watch 670,Fashion,Samsung,330.65
525,Dell Toy Car 636,Automotive,Dell,1152.91
526,Adidas Shampoo 369,Books,Adidas,423.58
527,Sony Chocolate 647,Toys,Sony,881.99
528,Canon Supplements 276,Toys,Canon,762.88
529,Nike Laptop 769,Electronics,Nike,842.14
530,Panasonic Mixer 888,Automotive,Panasonic,342.85
531,Nike Tablet 952,Sports,Nike,833.15
532,Panasonic Headphones 153,Toys,Panasonic,552.95
533,Lenovo Toy Car 796,Beauty,Lenovo,901.43
534,Samsung Perfume 978,Fashion,Samsung,704.35
535,HP TV 338,Grocery,HP,1233.22
536,Asus Perfume 563,Automotive,Asus,529.6
537,Lenovo Mixer 873,Automotive,Lenovo,1119.62
538,LG T-shirt 649,Fashion,LG,739.2
539,Apple Chocolate 495,Grocery,Apple,828.43
540,Dell Tablet 799,Books,Dell,137.94
541,Dell Toy Car 742,Toys,Dell,688.58
542,Puma Camera 118,Books,Puma,292.51
543,Samsung T-shirt 464,Books,Samsung,476.99
544,Philips Smartphone 570,Sports,Philips,931.63
545,Puma Watch 988,Health,Puma,701.87
